title,description,url,product_title+description,product_preprocessed
A.Vogel Bronchosan 100 ml,A.Vogel Bronchosan dibuat dari ekstrak tunas pohon cemara pilihan yang dapat membantu meredakan batuk berdahak.,https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/avogel-bronchosan-100-ml,A Vogel Bronchosan 100 ml A Vogel Bronchosan dibuat dari ekstrak tunas pohon cemara pilihan yang dapat membantu meredakan batuk berdahak ,"['a', 'vogel', 'bronchosan', 'ml', 'a', 'vogel', 'bronchosan', 'ekstrak', 'tunas', 'pohon', 'cemara', 'pilihan', 'membantu', 'meredakan', 'batuk', 'berdahak']"
ANAKONIDIN,"Anakonidin adalah sirup obat batuk dan pilek untuk anak Tanpa alkohol dengan rasa cherry.
Tersedia dalam kemasan botol 30 ml dan 60 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/anakonidin-1,ANAKONIDIN Anakonidin adalah sirup obat batuk dan pilek untuk anak Tanpa alkohol dengan rasa cherry Tersedia dalam kemasan botol 30 ml dan 60 ml ,"['anakonidin', 'anakonidin', 'sirup', 'obat', 'batuk', 'pilek', 'anak', 'alkohol', 'cherry', 'tersedia', 'kemasan', 'botol', 'ml', 'ml']"
ANAKONIDIN OBH,"Anakonidin OBH adalah sirup obat batuk dan Flu untuk anak Tanpa alkohol dengan rasa strawberry untuk meredakan batuk dan gejala flu seperti demam, sakit kepala, hidung tersumbat, serta bersin-bersin.
Tersedia dalam kemasan botol 30 ml dan 60 ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/anakonidin-obh-1,ANAKONIDIN OBH Anakonidin OBH adalah sirup obat batuk dan Flu untuk anak Tanpa alkohol dengan rasa strawberry untuk meredakan batuk dan gejala flu seperti demam sakit kepala hidung tersumbat serta bersin bersin Tersedia dalam kemasan botol 30 ml dan 60 ml ,"['anakonidin', 'obh', 'anakonidin', 'obh', 'sirup', 'obat', 'batuk', 'flu', 'anak', 'alkohol', 'strawberry', 'meredakan', 'batuk', 'gejala', 'flu', 'demam', 'sakit', 'kepala', 'hidung', 'tersumbat', 'bersin', 'bersin', 'tersedia', 'kemasan', 'botol', 'ml', 'ml']"
ASKAMEX,"Obat cacing untuk mengatasi cacing gelang dan cacing tambang pada anak-anak dan dewasa.
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/antelmintik/askamex-1,ASKAMEX Obat cacing untuk mengatasi cacing gelang dan cacing tambang pada anak anak dan dewasa Tersedia dalam kemasan strip isi 4 tablet ,"['askamex', 'obat', 'cacing', 'mengatasi', 'cacing', 'gelang', 'cacing', 'tambang', 'anak', 'anak', 'dewasa', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
Braito Dry Eyes,"Tetes mata yang berfungsi meredakan perih yang disebabkan mata kering.
Tersedia dalam kemasan botol 5ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-tetes-mata/braito-dry-eyes,Braito Dry Eyes Tetes mata yang berfungsi meredakan perih yang disebabkan mata kering Tersedia dalam kemasan botol 5ml ,"['braito', 'dry', 'eyes', 'tetes', 'mata', 'berfungsi', 'meredakan', 'perih', 'disebabkan', 'mata', 'kering', 'tersedia', 'kemasan', 'botol']"
BRAITO Original,"Tetes mata steril untuk meredakan mata merah karena iritasi.
Tersedia dalam kemasan sekali pakai 0.5ml dan 5ml.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-tetes-mata/braito-original-1,BRAITO Original Tetes mata steril untuk meredakan mata merah karena iritasi Tersedia dalam kemasan sekali pakai 0 5ml dan 5ml ,"['braito', 'original', 'tetes', 'mata', 'steril', 'meredakan', 'mata', 'merah', 'iritasi', 'tersedia', 'kemasan', 'pakai']"
CALOREX Syrup,"Sirup obat batuk yang disertai dengan flu. Tersedia dalam kemasan botol 60ml, rasa jeruk. Obat ini hanya bisa dibeli dengan resep dokter.",https://www.konimex.com/product/pharmaceutical/over-the-counter/calorex-syrup-1,CALOREX Syrup Sirup obat batuk yang disertai dengan flu Tersedia dalam kemasan botol 60ml rasa jeruk Obat ini hanya bisa dibeli dengan resep dokter ,"['calorex', 'syrup', 'sirup', 'obat', 'batuk', 'disertai', 'flu', 'tersedia', 'kemasan', 'botol', 'jeruk', 'obat', 'dibeli', 'resep', 'dokter']"
FEMINAX,"Obat nyeri haid, mengurangi rasa sakit pada waktu haid (dismenorea) dan pada kolik (kejang pada perut).
Tersedia dalam kemasan strip isi 4 tablet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/analgesik-antipiretik/feminax-1,FEMINAX Obat nyeri haid mengurangi rasa sakit pada waktu haid dismenorea dan pada kolik kejang pada perut Tersedia dalam kemasan strip isi 4 tablet ,"['feminax', 'obat', 'nyeri', 'haid', 'mengurangi', 'sakit', 'haid', 'dismenorea', 'kolik', 'kejang', 'perut', 'tersedia', 'kemasan', 'strip', 'isi', 'tablet']"
FUNGIDERM,"Fungiderm berguna untuk mengatasi infeksi jamur pada kulit dan kuku, yang disebabkan oleh dermatofit, kandida, ragi-ragi dan jamur lainnya.
Juga dapat mengatasi infeksi sekunder karena bakteri gram positif yang menyertai mikosis. Tersedia dalam kemasan tube 10 g.
Komposisi : Mengandung Clotrimazole 1%
Aturan pakai : Oleskan krim secukupnya 2-3 kali sehari pada bagian yang sakit selama 10-14 hari secara teratur dan tidak terhenti. Infeksi pada sela-sela jari kaki membutuhkan waktu 1 bulan...",https://www.konimex.com/product/pharmaceutical/over-the-counter/antijamur-anti-parasit/fungiderm-1,FUNGIDERM Fungiderm berguna untuk mengatasi infeksi jamur pada kulit dan kuku yang disebabkan oleh dermatofit kandida ragi ragi dan jamur lainnya Juga dapat mengatasi infeksi sekunder karena bakteri gram positif yang menyertai mikosis Tersedia dalam kemasan tube 10 g Komposisi Mengandung Clotrimazole 1 Aturan pakai Oleskan krim secukupnya 2 3 kali sehari pada bagian yang sakit selama 10 14 hari secara teratur dan tidak terhenti Infeksi pada sela sela jari kaki membutuhkan waktu 1 bulan ,"['fungiderm', 'fungiderm', 'berguna', 'mengatasi', 'infeksi', 'jamur', 'kulit', 'kuku', 'disebabkan', 'dermatofit', 'kandida', 'ragi', 'ragi', 'jamur', 'mengatasi', 'infeksi', 'sekunder', 'bakteri', 'gram', 'positif', 'menyertai', 'mikosis', 'tersedia', 'kemasan', 'tube', 'g', 'komposisi', 'mengandung', 'clotrimazole', 'aturan', 'pakai', 'oleskan', 'krim', 'kali', 'sehari', 'sakit', 'teratur', 'terhenti', 'infeksi', 'jari', 'kaki', 'membutuhkan']"
INZA,"Obat flu untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.
Tersedia dalam kemasan strip isi 4 kaplet.",https://www.konimex.com/product/pharmaceutical/over-the-counter/obat-batuk-pilek/inza-1,INZA Obat flu untuk meringankan gejala flu seperti demam sakit kepala hidung tersumbat dan bersin bersin Tersedia dalam kemasan strip isi 4 kaplet ,"['inza', 'obat', 'flu', 'meringankan', 'gejala', 'flu', 'demam', 'sakit', 'kepala', 'hidung', 'tersumbat', 'bersin', 'bersin', 'tersedia', 'kemasan', 'strip', 'isi', 'kaplet']"
